folio,foliohog,huespedes,huesp_come,trabaja_do,cuid_perso,lavandero,chofer,cocinero,jardinero,tot_integ,tot_hom,tot_muj
16916,1,0, , , , , , , ,2,1,1
16917,1,0, , , , , , , ,4,3,1
16918,1,0, , , , , , , ,4,3,1
16919,1,0, , , , , , , ,5,2,3
16920,1,0, , , , , , , ,5,2,3
16921,1,0, , , , , , , ,3,2,1
16922,1,0, , , , , , , ,4,2,2
16923,1,0, , , , , , , ,4,3,1
16924,1,0, , , , , , , ,3,1,2
16925,1,0, , , , , , , ,3,2,1
16926,1,0, , , , , , , ,6,2,4
16927,1,0, , , , , , , ,4,2,2
16928,1,0, , , , , , , ,6,3,3
16929,1,0, , , , , , , ,5,1,4
16930,1,0, , , , , , , ,5,2,3
16931,1,0, , , , , , , ,6,3,3
16932,1,0, , , , , , , ,3,1,2
16933,1,0, , , , , , , ,3,1,2
16934,1,0, , , , , , , ,4,3,1
16935,1,0, , , , , , , ,1,1,0
16936,1,0, , , , , , , ,1,1,0
16937,1,0, , , , , , , ,5,2,3
16938,1,0, , , , , , , ,1,1,0
16939,1,0, , , , , , , ,5,3,2
16940,1,0, , , , , , , ,2,1,1
16941,1,0, , , , , , , ,2,2,0
16942,1,0, , , , , , , ,4,3,1
16943,1,0, , , , , , , ,5,3,2
16944,1,0, , , , , , , ,3,2,1
16945,1,0, , , , , , , ,3,1,2
16946,1,0, , , , , , , ,5,2,3
16947,1,0, , , , , , , ,4,1,3
16948,1,0, , , , , , , ,2,1,1
16949,1,0, , , , , , , ,1,1,0
16950,1,0, , , , , , , ,4,2,2
16951,1,0, , , , , , , ,3,1,2
16952,1,0, , , , , , , ,9,6,3
16953,1,0, , , , , , , ,5,3,2
16954,1,0, , , , , , , ,4,3,1
16955,1,0, , , , , , , ,4,3,1
16956,1,0, , , , , , , ,3,1,2
16957,1,0, , , , , , , ,3,2,1
16958,1,0, , , , , , , ,4,2,2
16959,1,0, ,1,2,2,2,2,2,2,1,1
16960,1,0, , , , , , , ,3,2,1
16961,1,0, , , , , , , ,3,1,2
16962,1,0, , , , , , , ,2,1,1
16963,1,0, , , , , , , ,2,2,0
16964,1,0, , , , , , , ,8,4,4
16965,1,0, , , , , , , ,2,1,1
16966,1,0, , , , , , , ,4,2,2
16967,1,0, , , , , , , ,3,3,0
16968,1,0, , , , , , , ,3,2,1
16969,1,0, , , , , , , ,2,1,1
16970,1,0, , , , , , , ,4,2,2
16971,1,0, , , , , , , ,5,2,3
16972,1,0, , , , , , , ,6,4,2
16973,1,0, , , , , , , ,2,1,1
16974,1,0, , , , , , , ,7,3,4
16975,1,0, , , , , , , ,9,4,5
16976,1,0, , , , , , , ,2,1,1
16977,1,0, , , , , , , ,8,3,5
16978,1,0, , , , , , , ,4,3,1
16979,1,0, , , , , , , ,3,1,2
16980,1,0, , , , , , , ,6,3,3
16981,1,0, , , , , , , ,5,3,2
16982,1,0, , , , , , , ,1,1,0
16983,1,0, , , , , , , ,4,3,1
16984,1,0, , , , , , , ,2,2,0
16985,1,0, , , , , , , ,6,3,3
16986,1,0, , , , , , , ,1,1,0
16987,1,0, , , , , , , ,4,1,3
16988,1,0, , , , , , , ,1,0,1
16989,1,0, , , , , , , ,5,3,2
16990,1,0, , , , , , , ,1,0,1
16991,1,0, ,1,2,2,2,2,2,2,0,2
16992,1,0, , , , , , , ,3,2,1
16993,1,0, , , , , , , ,3,2,1
16994,1,0, , , , , , , ,2,1,1
16995,1,0, , , , , , , ,2,1,1
16996,1,0, , , , , , , ,1,1,0
16997,1,0, ,1,2,2,2,2,2,4,1,3
16998,1,0, , , , , , , ,3,2,1
16999,1,0, ,1,2,2,2,2,2,2,1,1
17000,1,0, , , , , , , ,3,2,1
17001,1,0, , , , , , , ,4,2,2
17002,1,0, , , , , , , ,3,1,2
17003,1,0, , , , , , , ,3,1,2
17004,1,0, , , , , , , ,4,3,1
17005,1,0, , , , , , , ,6,2,4
17006,1,0, , , , , , , ,2,1,1
17007,1,0, , , , , , , ,5,3,2
17008,1,0, , , , , , , ,5,3,2
17009,1,0, ,1,2,2,2,2,1,5,4,1
